Credit liabilities of households,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan
Non-mortgage loans,"665,649","666,749","671,427","673,563","678,442","681,794","684,897","686,400","687,870","687,942","688,816","690,207","688,096","688,737","691,003","692,774","699,031","702,946","705,363","707,615","710,695","711,310","712,933","713,925","708,524","707,793","708,536","711,315","716,113","719,180","720,579","722,274","723,803","723,402","723,130","725,098","718,878","718,878","709,841","698,621","695,035","697,740","698,149","702,534","704,502","703,406","704,667","699,736","690,997","688,764","686,624","688,259","690,663","693,224","692,884","696,565","700,344","699,978","706,596","703,511","697,906"
Chartered banks 1,"476,367","474,825","476,715","477,940","481,525","484,670","486,449","485,896","486,294","486,193","486,720","488,396","484,613","483,025","483,778","484,256","489,421","492,493","493,922","494,701","496,604","496,848","498,359","497,984","493,616","493,280","494,694","496,216","500,250","503,373","504,442","505,493","506,533","505,601","505,018","506,179","503,464","505,948","499,854","487,768","484,035","486,269","486,859","490,164","491,639","490,806","492,216","486,993","480,794","480,255","480,136","482,084","484,222","487,551","486,650","488,542","491,154","491,342","498,517","496,040","491,212"
Personal loans 1 2,"99,003","99,034","99,318","99,749","100,418","101,108","101,992","101,952","102,308","103,017","102,051","102,270","102,503","102,650","102,554","102,641","103,186","103,819","104,420","105,076","105,645","105,932","105,995","105,655","105,380","105,110","105,375","105,871","106,726","107,728","108,500","109,605","110,443","110,962","111,173","111,161","110,782","111,563","110,833","109,636","109,064","110,046","111,522","112,372","112,940","113,282","113,582","113,070","115,030","115,131","114,723","115,259","115,462","116,026","116,245","116,837","117,381","117,247","117,606","116,721","116,535"
Of which: Auto loans 1 2,"76,900","76,675","76,891","77,435","78,163","79,143","79,368","80,178","80,792","81,343","81,515","81,526","81,704","81,385","81,494","82,088","82,813","83,358","83,924","84,728","85,189","85,605","85,617","85,271","85,436","84,710","84,952","85,660","86,345","87,146","88,074","89,039","89,718","90,247","90,419","90,175","87,911","88,072","87,789","86,751","86,687","87,589","88,864","89,687","90,504","90,810","90,945","90,763","90,156","89,902","90,276","90,681","90,911","91,542","91,917","92,298","92,252","92,487","92,430","92,183","91,848"
Credit cards 1 2,"81,281","79,461","79,261","80,357","81,754","82,662","82,606","82,557","83,243","82,763","83,629","84,709","82,604","80,239","79,993","80,373","82,360","83,582","83,541","83,750","84,523","84,200","84,915","86,381","84,120","82,741","82,679","83,862","85,675","86,774","86,845","86,987","87,513","86,960","87,276","89,601","88,737","88,743","83,623","77,336","77,764","79,376","79,001","80,244","79,342","78,491","80,774","78,388","73,786","73,374","74,232","74,249","75,221","76,422","77,223","78,335","79,324","79,197","82,801","82,102","78,493"
Lines of credit 1 2 4,"245,450","245,606","247,179","247,313","248,888","250,453","251,214","250,607","250,240","249,902","248,601","248,593","248,205","248,027","248,747","248,637","249,187","250,089","250,950","250,539","250,993","250,988","251,518","250,435","248,372","249,011","249,429","248,776","249,436","249,798","249,849","249,594","249,368","248,360","247,111","245,667","239,067","239,396","241,559","237,368","233,849","232,472","231,502","231,576","232,466","231,310","229,848","227,576","223,357","222,306","220,839","221,278","221,201","221,335","220,681","220,872","221,479","221,780","222,729","222,896","221,793"
"Lines of credit, of which: excluding home equity lines of credit 1 2","70,662","71,001","71,440","71,322","71,799","72,174","71,890","71,621","71,424","71,543","70,786","70,994","71,555","71,853","72,166","72,401","72,804","73,415","73,850","73,323","73,848","73,595","74,504","74,053","72,876","74,173","74,546","74,350","74,790","75,096","75,230","75,700","76,158","75,893","75,569","75,246","70,145","70,559","71,319","68,746","66,821","66,069","65,732","65,886","66,099","65,772","65,291","64,700","63,967","64,037","63,745","63,350","62,921","62,921","62,908","63,073","63,514","63,560","63,962","64,229","64,222"
Other personal loans 1 2,"19,751","20,023","20,218","20,341","20,702","21,138","21,301","21,558","21,338","21,172","22,890","22,994","21,392","21,990","22,009","22,012","23,680","23,711","23,421","23,486","23,261","23,218","23,007","22,299","22,017","21,912","21,806","21,836","21,891","21,964","22,060","22,043","21,869","21,697","21,528","21,382","24,969","25,386","23,547","23,979","24,081","24,786","25,006","25,683","26,289","27,148","27,278","27,615","28,575","29,226","29,918","30,390","30,930","31,755","30,647","30,564","30,895","30,837","32,292","31,256","31,461"
Unincorporated business 1 2,"30,882","30,701","30,739","30,180","29,763","29,309","29,336","29,222","29,165","29,339","29,549","29,830","29,909","30,119","30,475","30,593","31,008","31,292","31,590","31,850","32,182","32,510","32,924","33,214","33,727","34,506","35,405","35,871","36,522","37,109","37,188","37,264","37,340","37,622","37,930","38,368","39,909","40,860","40,292","39,449","39,277","39,589","39,828","40,289","40,602","40,575","40,734","40,344","40,046","40,218","40,424","40,908","41,408","42,013","41,854","41,934","42,075","42,281","43,089","43,065","42,930"
Non-banks 1,"189,282","191,924","194,712","195,623","196,917","197,124","198,448","200,504","201,576","201,749","202,096","201,811","203,483","205,712","207,225","208,518","209,610","210,453","211,441","212,914","214,091","214,462","214,574","215,941","214,908","214,513","213,842","215,099","215,863","215,807","216,137","216,781","217,270","217,801","218,112","218,919","215,414","212,930","209,987","210,853","211,000","211,471","211,290","212,370","212,863","212,600","212,451","212,743","210,203","208,509","206,488","206,175","206,441","205,673","206,234","208,023","209,190","208,636","208,079","207,471","206,694"
Government 1 5,"27,225","27,254","27,285","27,227","27,166","27,108","27,656","28,203","28,733","28,666","28,602","28,535","28,611","28,680","28,756","28,695","28,633","28,572","29,198","29,824","30,430","30,387","30,344","30,301","30,356","30,405","30,460","30,344","30,223","30,107","30,694","31,281","31,849","31,902","31,953","32,006","31,926","31,850","31,770","33,904","34,373","34,625","35,133","35,666","36,183","36,223","36,256","36,626","36,759","36,836","36,914","36,973","37,033","37,109","37,732","38,306","38,853","38,692","38,531","38,384","38,260"
Non-bank financial corporations 1 5,"151,077","153,412","155,861","156,758","158,039","158,232","159,166","160,832","161,527","161,643","161,933","161,591","163,206","165,383","166,839","168,159","169,277","170,147","170,509","171,356","171,927","172,318","172,450","173,837","172,656","172,128","171,309","172,620","173,441","173,439","173,154","173,183","173,077","173,554","173,812","174,565","171,645","169,708","167,350","166,291","166,184","166,612","165,898","166,421","166,373","166,219","166,181","166,252","163,589","161,828","159,739","159,377","159,592","158,758","158,752","160,022","160,696","160,329","159,959","159,524","158,798"
Credit unions and caisse populaires 1 5,"67,912","68,064","68,091","68,600","69,484","69,317","69,555","70,475","70,457","70,964","71,665","71,815","71,882","72,701","72,601","73,672","74,538","75,162","75,263","75,839","76,149","76,336","76,170","77,340","76,694","76,634","76,334","77,381","77,933","77,687","77,801","78,287","78,569","78,720","78,659","79,095","78,192","78,248","78,059","76,704","76,310","76,452","75,751","76,260","76,249","75,905","75,707","75,605","74,858","74,824","74,659","74,820","75,593","75,287","74,620","75,224","75,254","75,123","74,981","74,780","74,543"
Trust companies and mortgage loan companies 1 5,685,740,801,834,858,861,799,797,803,812,821,816,872,896,967,974,980,989,990,"1,000","1,004",981,"1,060","1,051","1,079","1,119","1,164","1,201","1,236","1,255","1,261","1,211","1,215","1,225","1,238","1,239","1,090",965,819,825,826,836,786,763,690,688,662,643,625,611,585,562,521,493,485,481,478,478,479,481,489
Financial vehicle corporations engaged in securitization 1 6,"12,626","12,607","12,590","12,430","12,270","12,112","12,453","12,784","13,087","12,372","11,647","10,845","10,935","11,004","11,087","10,935","10,773","10,616","10,878","11,142","11,401","11,303","11,208","11,109","11,007","10,915","10,812","10,994","11,180","11,360","11,207","11,053","10,905","11,125","11,339","11,559","11,533","11,389","11,208","11,143","11,063","10,984","10,761","10,538","10,322","10,667","11,001","11,346","11,026","10,737","10,417","10,268","10,115","9,966","10,596","11,227","11,837","11,978","12,114","12,255","12,501"
Other financial corporations n.e.i. 1 7,"69,854","72,001","74,379","74,894","75,427","75,942","76,359","76,776","77,180","77,495","77,800","78,115","79,517","80,782","82,184","82,578","82,986","83,380","83,378","83,375","83,373","83,698","84,012","84,337","83,876","83,460","82,999","83,044","83,092","83,137","82,885","82,632","82,388","82,484","82,576","82,672","80,830","79,106","77,264","77,619","77,985","78,340","78,600","78,860","79,112","78,959","78,811","78,658","77,080","75,656","74,078","73,727","73,363","73,012","73,051","73,090","73,127","72,750","72,385","72,008","71,265"
Other lenders n.e.i. 1 8,"10,980","11,258","11,566","11,638","11,712","11,784","11,626","11,469","11,316","11,440","11,561","11,685","11,666","11,649","11,630","11,664","11,700","11,734","11,734","11,734","11,734","11,757","11,780","11,803","11,896","11,980","12,073","12,135","12,199","12,261","12,289","12,317","12,344","12,345","12,347","12,348","11,843","11,372","10,867","10,658","10,443","10,234","10,259","10,283","10,307","10,158","10,014","9,865","9,855","9,845","9,835","9,825","9,816","9,806","9,750","9,695","9,641","9,615","9,589","9,563","9,636"
Mortgage loans,"1,431,367","1,436,567","1,441,701","1,449,517","1,457,671","1,468,873","1,478,651","1,485,886","1,492,111","1,498,281","1,503,451","1,509,430","1,511,679","1,515,542","1,518,924","1,522,405","1,526,742","1,534,897","1,542,353","1,548,439","1,553,740","1,558,068","1,561,853","1,569,187","1,570,333","1,572,525","1,578,115","1,582,599","1,592,217","1,601,116","1,610,438","1,620,238","1,628,079","1,635,821","1,641,311","1,648,555","1,655,129","1,662,008","1,671,118","1,680,858","1,688,508","1,698,502","1,708,497","1,720,265","1,733,738","1,747,587","1,760,163","1,769,776","1,779,245","1,785,939","1,800,800","1,820,015","1,838,221","1,863,844","1,881,665","1,898,263","1,910,888","1,924,697","1,942,765","1,955,677","1,966,983"
Residential mortgages 9,"1,420,529","1,425,594","1,430,598","1,438,439","1,446,599","1,457,825","1,467,581","1,474,802","1,481,013","1,487,232","1,492,447","1,498,471","1,500,974","1,505,073","1,508,708","1,512,190","1,516,540","1,524,714","1,532,079","1,538,100","1,543,323","1,547,611","1,551,256","1,558,540","1,559,636","1,561,705","1,567,239","1,571,875","1,581,719","1,590,680","1,600,014","1,609,816","1,617,665","1,625,245","1,630,564","1,637,614","1,644,204","1,651,244","1,660,378","1,670,197","1,677,870","1,687,892","1,697,757","1,709,586","1,723,079","1,736,922","1,749,521","1,759,123","1,768,585","1,775,255","1,790,099","1,809,247","1,827,404","1,852,889","1,870,745","1,887,335","1,899,898","1,913,800","1,931,900","1,944,915","1,956,268"
Chartered banks 9 10,"1,059,796","1,063,641","1,067,719","1,073,886","1,080,356","1,090,114","1,099,248","1,106,063","1,111,839","1,116,858","1,121,143","1,126,454","1,127,284","1,129,794","1,131,864","1,134,848","1,138,231","1,145,278","1,150,316","1,154,508","1,158,294","1,161,320","1,164,788","1,171,616","1,171,995","1,172,449","1,176,490","1,180,477","1,188,725","1,196,765","1,205,283","1,214,457","1,221,561","1,228,262","1,233,100","1,239,942","1,244,578","1,249,558","1,256,359","1,265,602","1,272,185","1,280,567","1,289,825","1,301,799","1,314,290","1,328,568","1,341,397","1,351,734","1,360,243","1,366,186","1,379,348","1,395,716","1,411,343","1,432,710","1,448,691","1,463,721","1,475,259","1,485,968","1,500,341","1,510,520","1,520,046"
