"Distributions of household economic accounts, income, consumption and saving, Canada, provinces and territories, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0588-01 (formerly CANSIM 378-0153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography,Canada 1,,,,,,,,,,Newfoundland and Labrador 1,,,,,,,,,,Prince Edward Island 1,,,,,,,,,,Nova Scotia 1,,,,,,,,,,New Brunswick 1,,,,,,,,,,Quebec 1,,,,,,,,,,Ontario 1,,,,,,,,,,Manitoba 1,,,,,,,,,,Saskatchewan 1,,,,,,,,,,Alberta 1,,,,,,,,,,British Columbia 1,,,,,,,,,,Yukon 1,,,,,,,,,,Northwest Territories 1,,,,,,,,,,Nunavut 1,,,,,,,,,
,Statistics,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,Value per consumption unit 2,,,,,,,,,
Characteristics,"Income, consumption and savings",2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All households,Compensation of employees,"42,795",,"44,683",,"45,929",,"45,087",,"48,642",,"41,985",,"41,970",,"41,615",,"39,108",,"42,639",,"33,752",,"34,441",,"34,237",,"34,016",,"38,016",,"34,924",,"36,606",,"36,984",,"36,418",,"39,358",,"36,052",,"37,288",,"37,306",,"36,799",,"39,314",,"38,190",,"40,156",,"42,180",,"42,177",,"45,718",,"44,042",,"46,399",,"47,382",,"47,020",,"50,670",,"39,312",,"39,971",,"40,464",,"39,922",,"42,071",,"41,494",,"41,917",,"42,132",,"40,907",,"43,479",,"53,322",,"54,515",,"56,596",,"53,080",,"54,832",,"41,871",,"43,896",,"45,040",,"43,632",,"49,102",,"55,785",,"57,899",,"53,848",,"56,223",,"61,507",,"68,944",,"70,346",,"65,830",,"70,133",,"76,869",,"59,722",,"60,515",,"62,355",,"64,248",,"66,770",
,Net mixed income,"7,637",,"7,788",,"8,175",,"8,083",,"8,357",,"6,815",,"6,764",,"6,684",,"6,336",,"6,908",,"7,748",,"7,689",,"7,845",,"7,479",,"9,523",,"7,252",,"7,497",,"7,809",,"7,733",,"8,312",,"5,864",,"5,923",,"5,906",,"5,797",,"6,565",,"5,454",,"5,569",,"5,843",,"5,690",,"6,037",,"7,263",,"7,438",,"7,833",,"7,662",,"8,021",,"8,239",,"8,189",,"8,341",,"8,565",,"9,005",,"10,325",,"9,906",,"9,750",,"10,260",,"8,244",,"8,224",,"8,210",,"8,706",,"8,486",,"8,263",,"11,692",,"12,207",,"12,927",,"12,947",,"13,572",,"13,661",,"13,883",,"12,519",,"13,674",,"15,657",,"10,679",,"10,848",,"10,110",,"11,692",,"12,315",,"8,591",,"8,313",,"8,752",,"8,707",,"8,343",
,Property income received,"8,113",,"8,053",,"8,552",,"8,278",,"8,304",,"4,693",,"4,534",,"4,589",,"4,458",,"4,683",,"5,329",,"5,044",,"5,020",,"5,028",,"5,110",,"7,214",,"6,911",,"7,158",,"6,938",,"6,940",,"5,523",,"5,443",,"5,515",,"5,368",,"5,535",,"7,048",,"7,119",,"7,516",,"7,465",,"7,396",,"8,332",,"8,364",,"8,924",,"8,694",,"8,807",,"6,535",,"6,392",,"6,683",,"6,442",,"6,357",,"8,368",,"8,182",,"8,259",,"8,088",,"8,124",,"9,494",,"9,450",,"9,890",,"9,404",,"9,064",,"9,628",,"9,169",,"10,060",,"9,325",,"9,545",,"7,574",,"7,750",,"7,707",,"7,563",,"7,688",,"6,859",,"7,143",,"6,813",,"7,454",,"7,568",,"4,126",,"4,732",,"4,832",,"5,053",,"4,969",
,Less: property income paid,"2,415",,"2,795",,"3,137",,"2,831",,"2,574",,"1,841",,"2,050",,"2,230",,"1,901",,"1,662",,"1,583",,"1,799",,"1,918",,"1,691",,"1,574",,"1,729",,"1,966",,"2,204",,"1,893",,"1,637",,"1,612",,"1,818",,"1,981",,"1,746",,"1,521",,"1,754",,"2,055",,"2,268",,"2,033",,"1,835",,"2,704",,"3,149",,"3,587",,"3,317",,"3,086",,"1,795",,"2,064",,"2,244",,"1,953",,"1,679",,"2,192",,"2,471",,"2,674",,"2,327",,"2,010",,"2,760",,"3,081",,"3,472",,"3,029",,"2,552",,"3,047",,"3,570",,"3,943",,"3,496",,"3,260",,"2,121",,"2,534",,"2,691",,"2,498",,"2,235",,"1,899",,"2,276",,"2,304",,"2,149",,"1,918",,722,,755,,925,,851,,673,
,Current transfers received,"12,877",,"13,300",,"13,603",,"18,281",,"17,022",,"18,362",,"18,956",,"18,816",,"21,676",,"23,155",,"14,162",,"14,798",,"14,792",,"17,643",,"18,195",,"13,565",,"14,001",,"14,221",,"17,739",,"17,301",,"15,754",,"16,173",,"16,242",,"19,283",,"19,313",,"13,345",,"13,769",,"14,202",,"18,064",,"16,964",,"12,709",,"13,040",,"13,227",,"18,325",,"16,935",,"13,052",,"13,469",,"14,018",,"17,992",,"17,124",,"14,311",,"14,828",,"15,476",,"20,082",,"18,935",,"12,521",,"13,041",,"13,666",,"19,054",,"17,520",,"11,124",,"11,673",,"11,811",,"17,028",,"15,258",,"16,095",,"16,766",,"15,580",,"21,045",,"20,999",,"19,171",,"20,029",,"20,083",,"27,942",,"26,855",,"17,122",,"17,570",,"18,146",,"26,859",,"24,017",
,Less: current transfers paid,"21,283",,"22,261",,"22,800",,"22,780",,"24,186",,"22,625",,"22,223",,"21,616",,"20,768",,"22,211",,"16,944",,"17,549",,"17,266",,"17,617",,"18,672",,"18,990",,"19,440",,"19,730",,"19,665",,"20,929",,"18,226",,"18,895",,"18,814",,"18,749",,"19,627",,"21,444",,"22,783",,"24,025",,"24,391",,"25,711",,"21,505",,"22,355",,"22,803",,"23,062",,"24,533",,"19,986",,"20,813",,"20,968",,"20,929",,"22,025",,"21,454",,"21,938",,"21,902",,"21,653",,"22,934",,"23,674",,"24,522",,"24,863",,"23,879",,"24,789",,"19,258",,"20,518",,"20,884",,"20,396",,"22,322",,"24,957",,"26,788",,"25,380",,"26,315",,"28,044",,"36,442",,"38,412",,"35,397",,"37,996",,"41,016",,"28,262",,"30,459",,"32,848",,"34,039",,"35,404",
,Social transfers in kind (STiK): education,"4,062",,"4,186",,"4,248",,"4,406",,"4,408",,"4,810",,"4,838",,"4,817",,"4,898",,"5,428",,"4,022",,"4,078",,"4,019",,"4,017",,"4,372",,"3,877",,"4,017",,"4,110",,"4,309",,"4,273",,"3,575",,"3,577",,"3,622",,"3,643",,"3,901",,"3,798",,"3,952",,"4,023",,"4,127",,"4,433",,"4,038",,"4,198",,"4,243",,"4,497",,"4,253",,"4,682",,"4,706",,"4,739",,"4,905",,"5,067",,"5,723",,"5,696",,"5,871",,"5,851",,"6,070",,"4,691",,"4,729",,"4,822",,"4,821",,"4,624",,"3,406",,"3,531",,"3,636",,"3,827",,"3,972",,"8,525",,"8,268",,"6,810",,"6,423",,"6,923",,"10,897",,"11,177",,"9,503",,"10,068",,"10,711",,"11,516",,"11,635",,"11,823",,"12,674",,"12,640",
